"","text"
"29","realm of the mad god is the first ever free to play bullet hell mmo  team up with dozens of players and battle through the realm of the mad god oryx with a retro bit style realm is an evolution of traditional mmo gameplay a dozen classes and hundreds of items to discover means realm is easy to play but difficult to master players can jump in realm for  minutes or stay online for hours because there is nothing to install or downloadkey featuresaction combat no turnbased battles here only skilled running and gunningepic boss battles navigate demented waves of bullets from nasty demonstrue cooperative play all experience is shared and you win by playing togethergreat bit art retro styling straight from the bit eraover a dozen unique character classes play as a powerful wizard a clever mystic a brawling warriorloot hundreds of weapons potions armors and ringspermadeath dying well means something in realm earn fame if you survive for long enough and kill enough monsterssheep the sheep say baa"
"30","elsword is a freetoplay online action rpg that uses classic sidescrolling beat em up gameplay mechanics and deep customization to bring a unique manga experience to life in elsword you star in your own comic book while experiencing all the excitement of a massively multiplayer online game get ready for fastpaced gameplay stunning animation and epic bosses whether conquering hordes of enemies in dungeon runs or showing off your skills in the pvp arena elsword is the most intense freetoplay action rpg to datekey featurescoop gameplay  partyup with friends to explore over  unique and beautifully rendered dungeons towns and secret levels unique characters unique stories players can choose from thirteen customizable characters each their own unique story play style and special skills to develop skillbased pvp combat elsword offers intense and strategic pvp with matchmaking and multiple competitive modes challenge your friends in matches of up to  players at a time customize like crazy each character features multiple job changes dozens of skills and endless opportunities for customization create or discover your personal look community support constant game updates item and content expansions and special events including gm livestream play sessions community contests and pvp tournaments are all a part of the elsword experience"
"31","in the lord of the rings online join the worlds greatest fellowship of players in the awardwinning online recreation of j r r tolkiens legendary middleearth from the crumbling shadowed ruins of weathertop to the ageless golden wood of lothlórien immerse yourself in middleearth as you have never seen it before visit the peaceful verdant fields of the shire brave the dark depths of the mines of moria and raise a pint at the prancing pony in breekey features explore the massive world of middleearth immerse yourself in the awardwinning recreation of the beloved fantasy world of jrr tolkien through renowned locations including the shire the mines of moria and lothlóriencreate  advance your hero advance to level  with thousands of character customization possibilities  races  classes  professions  vocations plus over  titles skills and traitssolo  coop skirmishes dive into instant adventure alongside friends or customizable ai soldiers in exciting scalable battleslegendary items design and customize your own legendary weapons of immense power like bilbos sting or gandalfs glamdringplay as a monster fight as a servant of sauron against other players in intense pvmp combatcraft your own gear farm crops in the fertile fields of the shire or let your hammer ring in the dwarven halls ered luinfree online play no monthly fees required"
"32","fishing planet is a unique and highly realistic online firstperson multiplayer fishing simulator developed by avid fishing enthusiasts for anglers to bring you the full thrill of actual angling choose your lures make your trophy catches discover new possibilities and sharpen your real angling skills anywhere anytime with your friends  the game is free to play and just a download away fishing planet isnt just another game about fishing stunning eyecandy graphics superb hydro and aerodynamics realistic tackle behavior and damage based on actual simulation physics and most importantly fish with artificial intelligence for completely lifelike behavior make this a truetolife fishing simulator that can help you improve your actual angling skills  the combination of unique graphics realistic game physics and sophisticated ai will bring the realistic world of fishing directly to your screenkey features species of fish each with its unique behavior and ai  scenic waterways with multiple locations various climatic conditions bottom terrains and vegetation three types of fishing  float spinning and bottomthousands of tackle combinations with unique physical and hydrodynamic properties superb dynamic water graphics with ripples and surface that changes depending on wind current and depth weather  daynight alternation change of seasons different weather conditions rain fog bright sunshine multiplayer capacity  online tournaments with personal and team scores system of achievements leader boards and topplayer listswhat makes us differentcomplex ai system for fish behavior that correlates with seasonal and climatic change time of day speed of water current bottom contour and type color and structure water and air temperature wind etc bitingstriking reactions for each fish species are completely realistic and natural as well as specifics of lure attacks photorealistic graphics  using latest highend tools for ultimate photorealism photogrammetry all waterways are based on real location unique system of game physics and realistic tackle damage  rods lines and reels break according to their actual individual characteristics realistic aero and hydrodynamic environment for lures and retrievesdynamic water graphics  splashes waves and ripples on the water create a fully realistic fishing atmosphere weather  change of conditions depending on location season and time of day possibility of sudden rain or sunshine breaking through the clouds"
"33","hey hot stuff are you looking for a fun and flirty game to kill some time and make you laugh out loud thats a crazy coincidence because its been looking for youwelcome to crush crush  the idle dating sim begin your quest to win the hearts of your towns lovely ladies after a disastrous intro or two to do it youll have to build your stats unlock amazing new jobs and then sweep your waifu off her feet with exotic dates the perfect gift or maybe a tickle fight or two"
"34","etheria is under attack build mighty defenses to freeze burn and disintegrate your foes  then grab a sword and jump into the action level up a team of heroes deck them out in loot and destroy the hordes by yourself or in fourplayer online coopcreate a team of heroeswizards robots thieves recruit a cast of characters to join you on your quest to save etheria each hero brings unique abilities and defenses to the battlefield swap between your heroes on the fly to use all of their tools  even in combatbuild your defensesconstruct a deadly grid of laser beams drown your foes in quicksand build a wall of flamethrowers and watch the world burn you sicko a wide variety of defenses are at your disposal and youll need them all to protect the eternia crystals from the old ones armyshoot and lootleap into battle and get your hands dirty grab a sword a bow or a laser shotgun to blast through hordes of enemies as you play youll find loot and shards to equip and customize your heroes with just beware of the goblin blood as much as you scrub the smell never goes awaysee the sightsin your journey youll visit ancient forests massive castles haunted temples active volcanoes and a surprisingly small number of dungeons for a game named dungeon defenders iibring a friend or dungeons arent meant to be defended alone invite your friends to join you in etheria for fourplayer online coopmore updates on the wayas we did in early access were going to add more heroes maps loot and things to do and well continue to listen to you about how to improve dungeon defenders ii"
"35","the most realistic online hunting game ever created is available now for free experience the thrill of the hunt in vast openworld environments ranging from the desolate australian outback and overgrown swamps of louisiana to the dramatic landscape of the austrian alps as a hunter you will use everything from crossbows to handguns and state of the art bolt action rifles to track spot and harvest your prey realistic animal behaviors and persistent online features provide a living open world where you can explore at your own pace or compete with other players for bragging rightskey featuresthehunter classic was first released in  and is still continuously updated with new weapons species environments equipment and features theres a treasure trove of content for hunters to discover here and more is still cominghunt  lifelike species all recreated in painstaking detail from looks to behaviours species include bobcat black bear brown bear polar bear moose whitetail deer turkey pheasant coyote red fox roosevelt elk wild boar red deer roe deer mule deer blacktail deer feral hog mallard canada goose cottontail rabbit reindeer alpine ibex european rabbit red kangaroo bison snowshoe hare arctic fox sitka deer gadwall american black duck and northern pintail just to name a fewexplore  vast and endlessly varied environments with detailed graphics complete with a full day cycle and immersive weather effects  from the subarctic alaska to the swamps of louisianaform a hunting team and experience coop multiplayer with up to  friends or complete strangersextensive online features increase your skills increase your stats and get creative with trophy shots take part in competitions and climb the leaderboards or go on challenging missions to earn achievementsjoin the biggest and friendliest online hunting community we are all about helping and sharing our achievements show off that incredible set of antlers proudly mounted in your private trophy lodge or check out other accomplished hunters hauls for inspiration having trouble tracking and harvesting that big one ask the community many of whom are reallife hunters and get a helping handprogressing and acquiring items in the gamein thehunter classic a generous amount of content is available for free right at the outset five huntable species whitetail deer european rabbit and pheasant plus two more animals rotating weekly two weapons  boltaction rifle   ga single shot shotgun and a great equipment loadout is available at no cost additional items such as weapons species licenses and ammunition can be acquired with gm ingame currency that can be earned through playing the game or em ingame currency that can be purchased for reallife money or earned through winning ingame competitionsby hunting certain species and using certain items in the game you are able to hone your skills and improve as a hunter as these skills increase more abilities unlock with time and practice you will be able to tell weight and gender from a simple animal track and develop steadier aim for a range of weaponsachievements can be earned through diverse ingame activities each achievement adds to your hunterscore which can be used to track and compare your progress with other hunters increasing your hunterscore also unlocks upgrade items such as pouches and holsters for your rifles"
"36","governor of poker  is the best free multiplayer poker game with a great design in this multiplayer version of governor of poker you compete live with thousands of real poker players to prove you are the best and number  texas hold em poker star becoming a poker pro is a long journey through texas  you will start as a rookie and work yourself all the way up to become a vip poker player a high roller to end up winning high stake games  in the gold areagreat game features     different poker formats  cash game sit  go tournament push or fold spin and play heads up big win and royal poker  poker team team up with friends and win challenge chests  play blackjack  many different betting amounts  big free welcome package of poker chips gold and a cowboy or cowgirl hat  free chip stack bonus every  hours   distinguish yourself by winning badges and trophies with your poker skills  cross platform game play against mobileandroid and ios steam and web players  play with poker buddies make friends  invite them to play with you at the same table and send chip gifts  complete poker achievements and win gold coins and xp points  chat with other hold em players through chat and animating emoticons use them to bluff or taunt players so you win the poker hand   connect your email and continue playing your steam poker progress on your android or apple ios device what are you waiting for download and join the most exciting poker adventure now notethe games are intended for an adult audience eg intended for use by those  or olderthe games do not offer real money gambling or an opportunity to win real money or prizes eg the game is for amusement purposes onlypractice or success at social casino gaming does not imply future success at real money gambling"
"37","the game has changedsixguns and sorcery collide in eternal the strategy card game of unlimited choices and unbelievable fun eternal offers the best of both worldsrich deep strategic gameplay and counterplay with fastspells and tactical combatnextgen mobilefriendly digital design with quick smooth and intuitive gameplayall wrapped up with exciting digital mechanics and the most generous game economy out thereplay what you wanteternal is the most truly generously freetoplay digital card game you can find were committed to giving players the cards they need and the creative freedom to build any deck you can imagineevery card and every game mode in eternal can be played for free without ever paying a dimethe only limits are your imagination  eternal has no restrictions on which cards can be played together in your deckplay how you wanteternal has a variety of game modes to suit any player tournaments  test your mettle in competitive play with cash prizes events  frequent events introduce fun new twists and temporary rules ranked  grab your favorite constructed decks and battle for the top spot on monthlong leaderboards casual  pull off wacky combos in fun pick up games jank welcome draft  build a deck on the fly from  cards passed by other players and keep what you draft sealed league  crack  packs and build your way to victory in a monthlong sealed league promo quests  each month introduces a new card that can be earned for free during special promo quests campaign  join the battle for the eternal throne in storydriven pve campaigns that introduce new cards to the game forge  level up your game against the ai in forge pick cards for your deck from sets of three and see how far you can go gauntlet  learn new tricks in the gauntlet test your constructed deck against ai opponents and wild boss powers designed by the best professional tcg players in the worldplay when you wanteternals crossplatform play brings your decks and your collection anywhere you want to be your account goes with you to just about anywhere so theres always time for a lightningfast gameeternal is available onpc on steam    xbox one  microsoft storeandroid phones and tabletsios phones and tablets"
"38","black squad is a military firstpersonshooter game using the unreal engine  to show realistic graphics and dynamic visuals absolutely no paytowin welcome to the best fp shooter on the marketbattleye support dedicated servers great shooting mechanics and amazing netcode easy to adapt and a shooting game oriented for mass military loversone of the most played games on steamjoin hundreds of thousands of other black squad players worldwide whether youre reaching your th hour of gameplay or th theres always something new to learn practice and perfect black squad is updated regularly to improve gameplay features and items alongside new and fresh content to keep you entertainedno money necessary just pure skillsno money no problem black squad is a free fps available for absolutely everyone no payments no microtransactions no money is necessary to play and succeed all items and weapons are purchasable with in game currency real money can be used to purchase cosmetic items now is your chance to really improve your skills as a pure fps gameractionpackedblack squad offers a wide range of weapons maps modes and characters with this much variety of weapons maps and modes to choose from  every game is a new experience youll need to stay alert and adapt to new strategies and tactics black squad gives you the freedom to play how you want to figure out your own combat style and what works for you like to get up close and personal a stealthy assassin attack from afar maybe a master of allplay with your friends or make new onesconnect with your friends join a clan or create your own we feature regular clan wars and a clan ranked system battle it out prove your skill and work your way to the top dont forget to join our official discord  got supportcome across a problem need some help have a suggestion we have a dedicated support center here to help you all tickets receive responses within  hour working days we offer support for multiple languages english spanish portuguese french german russian and chinese "
"39","freestyle  is the ultimate online street basketball game experience a superior gameplay of basketball and perform freestyle street basketball moves  enjoy the excitement of vibrant street basketball with its unique celshaded graphics and game experienceone player one character   pick a character based on their position move up in the league choose the progression depending on your favorite playstyle  test your teamwork with other basketball players online and showem what you gotkey features positions center power forward small forward shooting guard and point guard skills create your own play style with over  moves including shooting and passing skills tournament  crew team up with your crewmates and win in a tournament for a chance at great items and prizes customization customize your characters look choose from a wide range of outfits hairstyles shoes accessories to make your own fashion statement tutorial  training exclusive tutorials on how to execute each and every skill in the game"
"40","we invite you all to the world of bless onlineexplore the beautiful and breathtaking open worldface diverse challengesjoin group battles to decide the fate of huge wars while earning rewardsexperience the endless possibilities of bless online now distinct races   unique classestake the first steps in creating your character by selecting your characters class and race experience the wide variety in skills combat styles and lore with each optionraceclass production and craftingwith a variety of crafting skills including weaponry armor handiwork enchantment alchemy and cooking players can pursue whatever aspect of production sparks their imaginationdungeons challenge yourself with dungeons of varying scale and difficulty battle bosses and monsters on your path to glorydiscover the special dungeon where players can obtain rare plants and mineralsfield battles  raidscooperate with other players or pit yourself against them as you fight terrifying bossesmonsters in bless arent just for fighting the  unique tameable species can become useful allies through tamingtake part in the ongoing war between hieron and union in everything from simple duels to v rvr battles a players prowess will help build their reputation in the bless world"
"41","raceroom is the premier freetoplay racing simulation on pc and home to official race series like dtm wtcr the wtcc and adac gt masters enter raceroom and enter the world of a professional race car drivera selection of freetoplay race cars and tracks are yours to drive with unlimited wheel time in multiplayer and single player games modes sponsored competitions and other freetoplay events allow you to enjoy premium game content at no costadditional cars tracks and liveries can be bought individually or as packs inside the game store using an ingame currency called vrp which is purchased using your steam walletkey featuresfree to play  eat sleep race repeata premium racing simulator is yours freetoplay on the pc race endlessly alongside the worlds most talented drivers in online multiplayer and single player game modes your dream car is here  grab your pickbmw mercedesbenz audi chevrolet ford mclaren pagani ruf  radical volvo saleen and more to come these manufacturers bring the best minds in racing together to dominate the world of motorsport and the machines they create are precision instruments of power perfection and speed we are proud to present them in the digital form for your enjoymentspeed is a universal language  hit the roadgoing fast is a worldwide pastime and many of the most beautiful points on the globe are home to miles of thrilling blacktop start racing and conquer these places for yourselfup close and personal  stand among the giants of racingno game gets you closer to professional racing and the drivers that make a racing series great raceroom is home to wtcc dtm and adac gt masters with more to comerealism  every sense touched you will see hear and feel what a race car driver does behind the wheel youll grow smelly from intense focus and the resulting perspiration and all you control is the taste at the end of the race will it be that of  sweet victory or bitter defeat the experience of racing is yours and its unforgettableaccessibility  racing is a family sportnovice amateur and get real game modes cater to drivers of all ability this game is fit for the entire family so start driving today with your steering wheel keyboard or gamepadthe pursuit of perfection  single playerrefine your skills against intelligent and challenging computer driven opponents use the adaptive ai which automatically adjusts opponent difficulty based on your performance or customize opponent difficulty to your likingdefeat the competition  online multiplayerline up with a grid of twentyfour players as you battle new friends and rivals in online multiplayer racescompetitions  capture glorycompete against the worlds greatest drivers in sponsored competitions from mercedesbenz euronics dtm adac gt masters and more these competitions also allow free players access to premium content throughout the duration of most eventsfast paced gameplaybe ready to break a sweat racing is the ultimate in twitch gameplay no time for breaks no room for mistakes you are on point or you are into the weeds push harder go faster and reap the rewards of an adrenalin induced smileimportant infodlc purchasing policyre user accounts are associated with the users steam account for security and transactions through steam wallet a steam account can use multiple re accounts by using the switch accounts function in the re account settingsupon purchasing an re dlc via the steam store an re user account will be permanently associated with that steam account and it will no longer be possible to switch accounts the option to switch accounts will be permanently removed from the re account settings"
"42","digimon masters online is the latest mmo featuring the everpopular digimon franchise this long awaited game will feature a deeper rpg experience enhanced graphics and adrenalinepumping realtime combat both new and longtime digimon fans can now immerse themselves into this new epic adventure with their very own digimonswhats a digimondigimon short for digital monsters is a globally popular japanese media franchise featured in countless tv seriesanimes mangas video games films toys collectible card games etc digimons are creatures inhabiting in the digital world a virtual space created by humanitys various communication networks and their developersdigimons are raised by humans referred to as tamers and they go on thrilling adventures to defeat evil digimons and human villains who strive to destroy the peace of the digital world and the real worldthis world is located within the main host computer yggdrasil and is controlledmanaged by artificial intelligenceall digimons each possess unique artificial intelligence which allows them to think judge and communicateas digimons each grow from their youths to adult forms they go through several steps of digivolution digiegg  rookie  champion  ultimate  mega to become more powerful and to survivegame featuresmmobased realtime combat with enemies mercenary digimons digimon riding modesraid bosses dungeons party mode availabledigimonaccessories reinforcement systemup to  maps and worlds much more to comeguild system along with ranks and titlesfriend systemtrading systemachievement  titlesquestsparty systemcostumes  avatars"
"43","fallout shelter puts you in control of a stateoftheart underground vault from vaulttec build the perfect vault keep your dwellers happy and protect them from the dangers of the wastelandbuild the perfect vaultcreate a brighter futureunderground select from a variety of modernday rooms to turn an excavation beneath  feet of bedrock into the very picture of vault lifeoversee a thriving community get to know your dwellers and lead them to happiness find their ideal jobs and watch them flourish provide them with outfits weapons and training to improve their abilitiescustomizeturn worthless junk into useful items with crafting customize the look of any dweller in the barbershopprospera wellrun vault requires a variety of dwellers with a mix of skills build a radio room to attract new dwellers or take an active role in their personal lives  play matchmaker and watch the sparks fly explore the wastelandsend dwellers above ground to explore the blasted surface left behind and seek adventure handy survival loot or unspeakable death find new armor and weapons gain experience and earn caps but dont let them dieprotect your vaultfrom time to time idyllic vault life may be disrupted by the dangers of postnuclear life prepare your dwellers to protect against threats from the outsideand withinvaulttec has provided the tools but the rest is up to you what are you waiting for get started building your vault today for free"
"44","shakes and fidget is a fun fantasy rpg satire and an awardwinning roleplaying game at the same time sounds crazy over  million players make it one of the most popular online games in the worldcustomize your own comic book hero and conquer the top slot of the hall of fame its not an easy task with real players standing between you and victory in the pvp arena together with your pals from your guild you become stronger more invincible and find lots of epic loot accept quests complete exciting adventures level up collect gold obtain honor be overpowered and become a living legendfeatures free to play awardwinning multiplayer rpg unique comic book look tongueincheek humor guild fights friendschat and messaging system easy to learn easy to use ingenious gags regular updatesand even more features  selectable races and  classes pvp against other real players thousands of weapons and magical equipment exciting quests and creepy dungeons fully customizable character image in comic book look"
"45","game summaryexperience the rush of  minute strategy battles in the world of tactical monsters comprised of monsters from all corners of the world  whether you are competitive in real life or virtual reality this is the ultimate competition game for yougameplay genreform the most monstrous team and conquer the realtime multiplayer gameplay outsmart and destroy your opponents by strategically positioning your monsters before battle and tactically controlling their actions in battlethis is a turnbased hex grid tactics gameplay with monsters from all time and space from franky the frankenstein to fantasy monsters like medusa and griffin to culturally established creatures like wukong and the mummy to monsters youve never seen before such as bigfoot and nobu the ghost samurai each monster have their own unique background and jobs each monsters have unique skills such as magic skills physical skills or even worldending skills like the nuclear warhead from dr walters mecha machinesocial interactionsplay with your friends in  on  virtual battles form a clan to trade cards exchange tactical knowledge with players worldwide in the world chat and clan chat build your own clan defenses to fend off the enemy raiders and be the  clan in the world features battle through adventure mode to recruit unique monsters upgrade the monsters to unlock ridiculous monstrous and destructive skills endure through the guerrilla warfare mode survival mode to defeat the neverending bosses sharpen your tactics by visiting training grounds duel players in real time live pvp to take their thrones and claim the world treasure chest set your optimal defense formations and layouts in mine defense ally with your clan mates to chat strategy to share cards and be the  clan in your country discover free items rewards and monsters you might like this game if you like to like turnbased games strategy games hero growth and heroes collection games rpg games trpg games games similar to western chess chinese chess war chess this game is also similar to other turnbased hex grid or hexagonal gamessupportemail us at supportcomfollow us on facebook to get news updateswwwfacebookcomtacticalmonsterstwitter  our discord channel to chat strategy  free gems by joining our discord group and entering your player id in the newbiesfreegems channeltactical monsters is fully developed owned and operated by camex games camex games partnered with lemix games to bring you some of your favorite characters from monster castle"
"46","embark on a wondrous adventurewield the power to manipulate and transform the land to your will in a world of endless discovery  gain mastery over your world through exploration combat mining crafting and building   settle in and build your home as you harvest crops tame beasts brew potions cook food and engineer mechanical marvelsdive into a gigantic open worldtraverse an immense landscape with a wide variety of inviting natural environments and encounter strange and exotic creatures venture deep beneath the surface through layers of unique and treacherous underground biomes where survival is anything but easy  master emergent world systems including daynight cycles temperature weather liquids materials environmental growth and spawningplay togetherbuild up your own private world and invite your friends or stake a claim in a public world to meet new players  easily browse through thousands of live player worlds that you can visit or make your home  join our thriving and welcoming community to make friends get inspired collaborate and learn all the secrets of creativersecreate your masterpiecepull and place blocks to build and decorate with an enormous variety of content  start with a stepbystep guided blueprint or make your own creations from scratch using over  unique pieces  master wireless machines and program complex interactions like creature spawning block manipulation dialogues custom checkpoints and much much more to create your own adventureshare with the worldpublish your creations and adventures to millions of other creativerse players  browse and play through thousands of handcrafted experiences created from the community collect enough likes and views for your adventure and see it featured on the front page  can you create the most popular experience of all"
"47","dreadnought is about one thing teambased capital ship combat its a freetoplay shooter that puts you at the center of battles in space and above the surfaces of colonies across the solar systembut its not just you and your guns against the world you have your teammatesoutlaw captains like yourselfand a range of ballistic weaponry goliath nuclear torpedoes and longrange tesla cannons to fill out your earthshaking arsenalcombat in dreadnought takes place at a deliberate pace giving you just enough time to react to an everchanging battlefield during each match youll be able to respawn as a different vessel and switch up your strategyall while the opposing team does the samewinning isnt just about cannons missiles and torpedoes each vessel is equipped with an energy management system that gives your crew the ability to activate shields boost engine power and amplify weapon damage using this energy wisely is key to coming out on top   every battle gives you credits and xp which you can spend to unlock a range of ships weapons and modulesfly ships from  manufacturers  the tough and rugged jupiter arms the solid and bulky akula vektor and the sleek and ethereal oberonhave you tried dreadnought best free game out there graphics are awesome kinda feels like im stealing by playing this one  jpanmanboom straight facts right here dreadnought is awesome free to play and not pay to win   at first i didnt think id ever like the corvette ships turns out theyre a whole lotta fun  dreadnought is a blast pun intended   im here to say that dreadnought the free to play large spaceship biffing game is fun as hell and very pretty   so very proud to represent dreadnought every time i get online and interact with the amazing community they have i am reminded how lucky i am  mtnrhyno  fight in v matches  unleash your guns alongside friendsor complete strangers command your own capital ships  over  vessels across  specialized classes outwit opponents  maneuver your ship up down and across vast battlefields adapt and conquer  respawn in different ships and loadouts during matches create the perfect loadout  equip weapons modules and more choose from thousands of combinations customize your ships  look more colorful in victoryand defeat personalize your captain  suit up in a wide range of unique outlaw apparel mix up the battlefield  play classic game modes like team deathmatch onslaught and conquest advance your rank  gain experience to unlock more advanced ships and modules new ships  we will keep adding more ships across all  ship manufacturers  new maps  more space and terrestrial battle arenas are coming in the future more game modes  havoc and coop pve missions are on the horizon  daily login bonuses  play often to get rewards prestige system  rise from freshfaced rookie to veteran outlaw crew progression  level up your officers with specialized skills community events  take part in limitedtime events for special rewards additional languages  coming soon more to come  stay tuned battles are never paytowin you cant buy power for your shipjust items to customize its appearance  we deploy game updates and qualityoflife improvements at least every  months we also regularly release new content for the ingame market we listen tell us what you think about the game and what youd like to see in the future in our community forumsthe beta test period for dreadnought has ended all players are required to have a steam account and complete a quick onetime accounting linking processplease note if you participated in the beta all progress and balances you have achieved will remain intact thank you for playingadd us to your steam wish list to be informed when dreadnought launches and follow us to receive updates on ongoing development"
"48","infestation the new z is a free to play multigame mode experience developed based on community feedback experience a massive open world shooter featuring a dynamic player vs player experience in different game modes and worlds discover three separate freetoplay game modes in one gamebattle royalebe the last man standing to win start with nothing scavenge and kill your way into victory work your way up in the elobased leaderboards and become the best player out theresurvivalscavenge craft  survive in a massive open world find the best loot spots with your friends but be careful you might run into some pesty zombies or even other survivors survival is a game mode where gameplay and loot is influenced by the old infestation series also released under the title the war zopen worldexperience the traditional pvp aspect of the new z in open world players have the choice to play in traditional maps or smaller close combat maps loot is common creating a more pvporiented experiencebesides the three different and separate game modes the new z is developed based on community feedback with constant updates  changes next to that the game is armed with the custom made fredaikis anticheat developed for the game"
"49","champions online brings epic heroism back to the mmorpg genre with depth that challenges the most experienced online gamers while its fastpaced action engages new entrants to the online superhero universe join defender and the legendary champions to stop dr destroyer and his minions in the ultimate showdown between good and evil key features freetoplay play a triplea mmo experience without cost play from level  to  free of charge there is no box price and no mandatory subscription enjoy champions online as you like when you like total customization choose from thousands of different costume pieces colors and body types to create your characters oneofakind look there are billions of possible combinations and even in a universe brimming with the fantastic and the unforgettable you can be completely unique keep your enemies close every hero must have an archenemy design your characters supreme adversary choosing a name powers and costume for a superpowered foe to bedevil your hero throughout his or her career endless exploration the battle against evil rages across the world and into alternate dimensions no other mmo offers players the chance to explore such diverse realms  from the shining skyscrapers of millennium city and the frozen wastes of canada to the hidden underwater city of lemuria the foul mystical dimension known as qliphothic and the tormented vibora bay evil most foul battle supervillains aliens giant monsters and secret sinister organizations doctor destroyer is launching new plans to conquer the world viper lurks in the shadows seeking chances to strike at humanity the ancient lemurians are plotting a return to power and mechanon wont stop until it has wiped all organic life from the planet can you stop these heinous threats to humanity hioctane excitement combat is instantaneous and electrifying no more boring auto attacks and lengthy recharge times  brains required every enemy and superpowered threat in champions online has its own unique abilities and combat specialties use your head or wind up dead bring friends make friends our universe is jampacked with thousands of heroes facing thousands of threats join up with other heroes create your own super group and prepare to take on the ultimate threats your powers your terms there is a multitude of astonishing powers to choose from and the flexible character creation system gives you total control over your heros abilities you can even pick the appearance of your powers do you want purple force fields green fire blasts jet black claws you decide bigger and better vanquish evil and your successes will be rewarded with costume pieces to enhance your powers and abilities then customize the appearance of those rewards to your vision of your heros look and abilities make your mark all this within a constantly changing continually evolving story villains are defeated heroes rise and fall cities transform your actions may decide the future"
"50","craft legendary items gear up your heroes for epic quests and fight for the top of the pvp leaderboard in the original smash hit shop sim  city builder with quests and adventure shop heroesgrow your simple shop into a vast empire become a medieval fantasy tycoon by crafting selling and trading items with other players recruit a team of rpg heroes to go on quests and equip them with your finest weapons and armor work together with other player merchants to build the greatest city in all civilization all of this adventure and more awaits you  join the millions of players that have made shop heroes their second homethe season of starfrost is upon us build a beautiful starfrost fountain tame the elusive starfrost bunny or even frolic with your starfrost skatesbuild a fantasy empire design your dream item shop with beautiful interior decorations dress up your shopkeeper avatar in stylish outfits craft powerful items to sell to adventurers and players alike advance through unique tech trees to discover incredible weapons and armor trade with other players to build your wealth and fame fuse items together to unlock the rarest and most powerful equipmentconquer the kingdom recruit and gear up a diverse cast of rpg heroes loot exciting treasures in aragonias many quests and adventures battle other players in pvp combat for wealth and glory team up with friends to build a powerful and profitable city raid massive dungeons with your city to earn exclusive lootregular events updates and new content are always happening come see what shop heroes has in store for yousupportexperiencing any problems got some suggestions we would love to hear from you you can reach us at  for immediate assistancea persistent network connection is required to playplease note shop heroes is completely free to play but you can purchase some game items with real money if you dont want to use this feature you can disable inapp purchases in your devices settingsuse of this application is governed by the terms of service available at  and use of data are subject to the privacy policy available at  us  us "
"51","more cards more strategy bigger story collect  earnable cards battle in  singleplayer campaign missions and emerge victorious in epic online duels never played magic the gathering learn how as you take on the role of an iconic planeswalker veteran magic player hone your skills and match wits with opponents onlinenew cards  new unique cards from magics amonkhet setnew story a new storydriven amonkhet campaign  new items customize your play experience with  new cards sleeves and  new personasmany ways to play experience some of magics most iconic moments in story mode head to battle mode to take on your friends or grab a partner for a fourplayer twoheaded giant battlebuild powerful decks build your deck of devastating spells from an evergrowing library of earnable cardspractice offline hone your skills and try new decks and strategies against virtually endless ai opponents in solo modefor magic duels game support please visit"
"52","build insane fully customisable robot battle vehicles that drive hover walk and fly in the freetoplay action game robocraft add weapons from the future and jump in the driving seat as you take your creation into battle against others onlinebuild  combine blocks in an easytouse editor interface to create a futuristic robot battle vehicle armed with dozens of different weapon optionsdrive  jump into the pilot seat and test out your robot design against ai jet cars tanks flying warships helicopters drones  almost any vehicle is possible in robocraftfight  battle online in vast battlefields against players from all over the world on dedicated serversadditional featuresover  cubes and growing be part of a constantly changing metagame with new weapons components and features added every monthwatch as enemy robots break apart cube by cube as you destroy them with powerful weaponry which players can switch between at their leisureform parties and battle on the same team with your friendscreate or join clans of up to  playersshare your robotic creations with other players online via the community robot factoryfor more information about robocraft please visit robocraftgamecom"
"53","business tour simple and entertaining gameplay allows you to come up with many interesting strategies come to agreements with your rivals and even enter into conspiracies against other players apart from that the game helps you to reveal your inner entrepreneurial qualities for precisely this reason children and adults alike can enjoy this game equallybusiness tour allows you to play a classic tabletop game online with your friends the main advantage of business tour is that its easy to learn to play but that doesnt mean its easy to win youll have to use all your bravery and business acumen to defeat real opponents difficulty and unpredictability make the classic tabletop game more interesting and the gameplay more diversekey features  online multiplayer mode  players  offline multiplayer mode  play with bots  trading cards and achievements  worldwide leaderboard  your favorite game is now online  daily tasks  inventory"
"54","aura kingdom is a new anime mmorpg published by aeria games developed by the studio behind the highly popular eden eternal and grand fantasia aura kingdom offers a grand and beautiful world for every player to explore with beautiful anime graphicsstarting with one out of eleven different classes aura kingdom offers the possibility for players to select a subclass once they reach level  allowing for countless of original builds players will also walk along the side of their eidolons in their journey  they are loyal interactive companions who grant the strength to unleash massive combos thousands of players already walk the world of azuria it is time for you to join themkey featuresinteractive companions  eidolons are no ordinary pets not only do they participate in battle but they will also remember your actions and tell you whats on their mind they are part of azuriafastpaced dynamic fights  mobility is a key aspect in battle think fast act faster dodge your foes attacks and call upon your eidolon to unleash spectacular combos adaptability  customize your character so he can overcome every challenge improve the skills that fit your playstyle and switfly change them during battle to adapt to your opponents strategy creativity can win you the battlea wonderful world  travel the immense lands of azuria visit towns brimming with life and explore mysterious and hidden dungeons to stop the evil of this world you can make the difference hero"
